page,71883,NN
of,39459,IN
displaying,39145,VBG
app,35907,NN
a,29745,DT
in,26157,IN
the,21515,DT
showing,20085,VBG
to,19244,TO
options,17557,NNS
display,14849,NN
screen,14808,NN
for,12468,IN
with,12338,IN
application,12231,NN
list,10627,NN
an,9239,DT
different,9015,JJ
up,8730,RB
shows,7421,NNS
pop,7143,NN
information,6585,NN
settings,6433,NNS
about,6090,IN
various,5868,JJ
and,5433,CC
pop-up,4825,NN
multiple,4595,NN
social,4590,JJ
option,4485,NN
details,4407,NNS
on,3663,IN
welcome,3570,NN
shopping,3253,NN
search,3172,NN
sign,3156,NN
login,2999,NN
displayed,2923,NN
image,2745,NN
news,2541,NN
share,2476,NN
select,2468,NN
home,2453,NN
asking,2346,VBG
profile,1949,NN
account,1870,NN
displays,1818,NNS
apps,1741,NN
learning,1718,VBG
location,1718,NN
music,1603,NN
message,1583,NN
weather,1511,NN
enter,1463,NN
add,1455,VB
notification,1436,NN
sharing,1360,VBG
food,1344,NN
applications,1312,NNS
available,1275,JJ
images,1243,NNS
number,1234,NN
sports,1199,NNS
map,1154,NN
other,1152,JJ
setting,1105,VBG
categories,1102,NNS
bar,1076,NN
popup,1073,NN
health,985,NN
choose,960,NN
create,943,NN
continue,938,NN
fitness,934,NN
alert,918,NN
language,916,NN
is,875,VBZ
log,871,NN
new,839,JJ
video,832,NN
blank,831,NN
menu,823,NN
find,812,VB
mobile,768,NN
open,765,JJ
window,760,NN
travel,724,NN
no,723,DT
photo,708,NN
videos,701,NNS
tracking,686,VBG
contact,685,NN
icons,673,NNS
start,669,NN
set,662,NN
online,658,NN
booking,643,VBG
from,630,IN
your,605,PRP$
locations,601,NNS
camera,600,NN
items,598,NNS
dating,596,VBG
icon,594,NN
code,580,NN
game,577,NN
data,572,NNS
financial,564,JJ
info,560,NN
few,548,JJ
player,540,NN
products,535,NNS
through,534,IN
results,530,NNS
are,529,VBP
contacts,528,NNS
user,520,NN
articles,509,NNS
gaming,508,VBG
access,501,NN
time,495,NN
empty,483,JJ
instructions,482,NNS
calendar,479,NN
chat,479,NN
terms,472,NNS
date,470,NN
text,470,NN
notifications,469,NNS
navigation,468,NN
payment,467,NN
features,464,NNS
or,463,CC
history,447,NN
audio,446,NN
loading,446,VBG
media,438,NNS
that,434,IN
flight,432,NN
this,425,DT
book,424,NN
editing,423,VBG
download,422,NN
product,418,NN
car,418,NN
version,417,NN
tracker,417,NN
help,416,NN
like,416,IN
file,407,NN
phone,406,NN
friends,401,NNS
call,398,NN
get,396,VB
baby,390,NN
edit,390,NN
all,389,DT
favorites,387,NNS
names,381,NNS
calling,379,VBG
some,377,DT
email,377,NN
status,372,NN
messaging,366,VBG
send,358,NN
messages,354,NNS
country,353,NN
gallery,352,NN
question,351,NN
install,349,NN
picture,346,NN
device,345,NN
introductory,344,NN
recent,344,JJ
care,343,NN
service,336,NN
general,335,JJ
price,333,NN
update,328,NN
forecast,327,NN
countries,327,NNS
my,324,PRP$
types,323,NNS
kinds,323,NNS
use,323,NN
alarm,320,NN
entertainment,319,NN
privacy,319,NN
feed,316,NN
conditions,314,NNS
initial,307,JJ
credentials,303,NNS
interface,301,NN
accept,300,NN
under,299,IN
workout,298,NN
tab,298,NN
streaming,298,VBG
recipe,297,NN
name,297,NN
feedback,297,NN
requesting,295,VBG
allow,295,VB
banking,293,NN
view,290,NN
using,289,VBG
searching,285,VBG
photos,284,NNS
medical,283,JJ
browser,283,NN
registration,282,NN
address,277,NN
personal,276,JJ
more,274,RBR
agreement,273,NN
website,270,NN
description,269,NN
guide,268,NN
register,268,NN
alerts,267,NNS
setup,265,NN
teams,265,NNS
reading,264,NN
starting,263,VBG
push,262,NN
recipes,262,NNS
test,259,NN
related,257,JJ
pictures,252,NNS
offers,251,NNS
languages,251,NNS
stories,250,NNS
next,250,JJ
vehicle,245,NN
numbers,244,NNS
live,243,JJ
questions,243,NNS
movie,243,NN
latest,239,JJS
password,239,NN
comments,239,NNS
invite,237,NN
regarding,236,VBG
verification,236,NN
timer,235,NN
store,235,NN
network,235,NN
hotel,234,NN
